-45.41016,-88.37891,2.44141,-11.23047
-44.43359,-83.49609,2.92969,-12.69531
-85.93750,-82.51953,3.90625,-13.18359
-65.91797,-82.03125,1.95312,18.06641
-29.29688,-77.14844,-0.97656,2.44141
-28.32031,-64.45312,-7.32422,-41.50391
-66.40625,-54.68750,-10.74219,-28.32031
-56.15234,-58.59375,-14.64844,-16.11328
-9.76562,-57.61719,-19.04297,-23.43750
-28.80859,-55.17578,-18.06641,-19.53125
-44.43359,-53.22266,-19.53125,-26.36719
-40.03906,-51.75781,-20.50781,-30.76172
-44.43359,-56.64062,-18.55469,-31.73828
-20.99609,-60.05859,-20.50781,-18.55469
-3.90625,-51.26953,-20.50781,-20.99609
-19.04297,-45.41016,-24.90234,-27.83203
-62.98828,-45.41016,-29.78516,-0.48828
-50.78125,-38.57422,-20.50781,-17.57812
-30.76172,-38.57422,-19.04297,-13.67188
-31.25000,-41.50391,-27.83203,-19.04297
-28.80859,-44.43359,-31.73828,-29.29688
-39.55078,-46.38672,-34.17969,-6.83594
-2.44141,-44.43359,-31.73828,-8.30078
-37.10938,-45.89844,-26.85547,-15.13672
-74.21875,-43.45703,-27.34375,-20.01953
-42.48047,-45.89844,-30.76172,-4.39453
-32.71484,-47.85156,-30.76172,-9.76562
-15.13672,-42.96875,-25.87891,-31.73828
1.95312,-45.41016,-20.50781,-13.18359
5.85938,-40.03906,-19.04297,7.32422
-52.73438,-37.10938,-28.32031,-11.71875
-73.73047,-41.99219,-35.64453,-21.97266
-19.53125,-40.52734,-33.69141,-23.43750
-16.60156,-37.10938,-26.85547,-17.57812
-31.25000,-34.66797,-19.53125,-1.95312
-39.06250,-38.57422,-27.34375,-37.10938
-29.78516,-45.89844,-24.41406,-26.36719
-1.46484,-44.43359,-24.90234,-9.27734
-9.76562,-31.73828,-34.66797,-33.20312
-47.85156,-23.92578,-38.57422,-36.13281
-35.15625,-28.80859,-42.48047,-41.01562
-16.60156,-21.48438,-37.59766,-44.92188
1.95312,-18.55469,-26.36719,-28.32031
-25.87891,-26.36719,-28.32031,-17.08984
-24.90234,-26.85547,-34.66797,-35.64453
-25.87891,-31.25000,-41.50391,-59.08203
-54.68750,-30.27344,-46.87500,-62.01172
-35.15625,-30.27344,-40.52734,-34.17969
-9.76562,-33.20312,-36.62109,-15.13672
-23.92578,-34.66797,-32.22656,-19.04297
-37.10938,-40.52734,-29.29688,-28.80859
-50.78125,-38.08594,-36.62109,-43.45703
-44.43359,-25.39062,-41.99219,-45.41016
-18.55469,-14.16016,-36.62109,-17.08984
7.32422,-3.90625,-29.78516,-3.90625
-8.30078,-17.08984,-24.41406,-38.08594
-62.50000,-43.45703,-26.85547,-62.98828
-70.31250,-48.82812,-27.34375,-47.85156
